type,dish name,description,price
non veg,item. EVM Chicken McGrill® Double patty Burger,,₹307
non veg,item. McChicken? Double patty Burger,,₹238
non veg,item. Chicken McGrill® Double patty Burger,,₹168
non veg,item. Spicy Paneer/Spicy Chicken Wrap(Any 2)+1 Med. Fries+2 Puff,,₹635
non veg,item. MaharajMac Veg/MaharajMac Chicken(Any Two)+1 Medium Fries+2,,₹627
non veg,item. Spicy Paneer/Spicy Chicken Burger(Any 2)+1 Med Fries+2 Puff,,₹548
non veg,item. McVeggie/McChicken(Any Two)+1 Medium Fries+2 McPuff,,₹420
veg,Item. Match Night Combo-veg,,₹269
veg,Item. Cricket wali Party Combo-veg,,₹429
veg,Item. House Party wali Meal-veg,,₹549
non veg,item. Match Night Combo-Non-veg,,₹519
non veg,item. Cricket Wali Party Combo-Non -veg,,₹329
non veg,item. House Party wali Meal-Non-veg,,₹649
veg,Item. Korean McFlavor Fries*,,₹148
veg,Item. McFlavor Fries (Med.),,₹147
veg,Item. McFlavor Fries (Reg.),,₹114
veg,Item. Medium-Fries,,₹118
veg,Item. Large Fries. This item is a Bestseller,,₹132
veg,Item. Small Fries,,₹95
veg,Item. Pizza McPuff®,,₹49
veg,Item. Piri Piri Seasoning,,₹23
non veg,item. Chicken McNuggets® 20pc,,₹397
non veg,item. Chicken McNuggets® 9pc,,₹209
non veg,item. Chicken McNuggets® 6pc,,₹161
veg,Item. Medium Fries,,₹118
non veg,item. Happy Hour Chicken McNuggets® 20pc,,₹397
non veg,item. Happy Hour Chicken McNuggets® 9pc,,₹209
veg,Item. Chocolate Brownie Sundae,,₹115
veg,Item. McFlurry® Oreo,,₹127
veg,Item. McFlurry® Choc Crunch,,₹127
veg,Item. StrawberrySundae,,₹91
veg,Item. Chocolate Sundae,,₹91
veg,Item. Small McFlurry® Oreo,,₹93
veg,Item. Small McFlurry® Choc crunch,,₹93
veg,Item. Large Coke ®,,₹104
veg,Item. Large Fanta,,₹104
veg,Item. Large Sprite,,₹104
veg,Item. Medium Coke,,₹98
veg,Item. Medium Fanta,,₹98
veg,Item. Medium Sprite,,₹98
veg,Item. Cold Coffee. This item is a Bestseller,,₹122
veg,Item. Chocolate Milk shake,,₹75
veg,Item. Minute Maid Pulpy Orange,,₹9523
veg,Item. Korean Yuzu Fizz*,,₹91
veg,Item. Small Coke ®,,₹81
veg,Item. Small Fanta,,₹81
veg,Item. Small Sprite,,₹81
veg,Item. Masala Chai,,₹56
veg,Item. Schweppes™ Bottled Water,,₹571.4
veg,Item. Barbeque Dip,,₹22
veg,Item. Mustard Dip,,₹22
veg,Item. Chilli Sauce,,₹190
veg,Item. Ketchup,,₹095
veg,Item. Smoky Chipotle Sauce,,₹29
veg,Item. Veg Supreme McMuffin,,₹102
veg,Item. Veg Supreme McMuffin With Beverage,,₹192
veg,Item. EVM Veg Supreme McMuffin,,₹227
veg,Item. McFlurry Choco-Caramel,,₹137
veg,Item. Small McFlurry Choco-Caramel*,,₹104
veg,Item. Coke Zero,,₹91
veg,Item. Iced Coffee,,₹125
veg,Item. Watermelon Cooler,,₹114
veg,Item. Strawberry Shake,,₹194
veg,Item. Chocolate Shake,,₹194
veg,Item. Vanilla Oreo Shake,,₹206
veg,Item. Cold Coffee Frappe,,₹206
veg,Item. Caramel Frappe,,₹286
veg,Item. Peach Iced Tea,,₹194
veg,Item. Cappuccino,,₹171
veg,Item. Cappuccino Small,,₹114
veg,Item. Latte,,₹183
veg,Item. Latte Small,,₹148
veg,Item. Americano,,₹171
veg,Item. Americano Small,,₹137
veg,Item. Mocha,,₹229
veg,Item. Mocha Small,,₹183
veg,Item. Espresso Small,,₹102
veg,Item. Hot Chocolate Small,,₹171
veg,Item. Macchiato Small,,₹137
veg,Item. Strawberry_Cheese_Cake,,₹219
veg,Item. Butter_Croissant,,₹197
veg,Item. Garlic_Marinara_Toasty,,₹153
veg,Item. Hot Cake,,₹114
veg,Item. Veg McMuffin?,,₹91
veg,Item. Hash Brown,,₹45
non veg,item. Egg & Cheese McMuffin?,,₹91
non veg,item. Sausage McMuffin?,,₹114
non veg,item. Egg & Sausage McMuffin?,,₹114
veg,Item. Veg McMuffin with Beverage,,₹181
non veg,item. Sausage McMuffin with Beverage,,₹215
non veg,item. Egg & Sausage McMuffin with Beverage,,₹215
non veg,item. 2PC Egg & Cheese McMuffin,,₹181
veg,Item. 2PC Hot Cake,,₹215
non veg,item. McEgg with Beverage,,₹152
veg,Item. Hash brown with Beverage,,₹140
veg,Item. EVM Hot Cake,,₹244
veg,Item. EVM Veg McMuffin?,,₹215
non veg,item. EVM Sausage McMuffin?,,₹232
non veg,item. EVM Egg & Sausage McMuffin?,,₹250
non veg,item. EVM Egg & Cheese McMuffin?,,₹215
non veg,item. EVM McEgg*,,₹186
non veg,Item. McVeggie ?,,₹118
veg,Item. McSpicy? Paneer,,₹197
veg,Item. Big Spicy Paneer Wrap,,₹236
veg,Item. Pizza McPuff?,,₹49
veg,Item. McAloo Tikki Burger?,,₹58
non veg,item. Chicken McGrill?,,₹106
non veg,item. McChicken ?,,₹151
non veg,item. McSpicy Chicken ?,,₹201
non veg,item. Big Spicy Chicken Wrap,,₹248
veg,Item. McFlurry? Oreo,,₹127
veg,Item. Chocolate Brownie Sundae,,₹115
veg,Item. McFlurry ? Choc Crunch,,₹127
veg,Item. Strawberry Sundae,,₹91
veg,Item. Chocolate Sundae,,₹91
veg,Item. Small McFlurry? Oreo,,₹93
veg,Item. Small McFlurry ? Choc crunch,,₹93
