type,dish name,price
Veg, Veg Supreme McMuffin,₹102
Veg, Veg Supreme McMuffin With Beverage,₹192
Veg, EVM Veg Supreme McMuffin,₹227
Veg, McFlurry Choco-Caramel,₹137
Veg, Small McFlurry Choco-Caramel*,₹104
Veg, Coke Zero,₹91
Veg, Iced Coffee,₹125
Veg, Watermelon Cooler,₹114
Veg, Strawberry Shake,₹194
Veg, Chocolate Shake,₹194
Veg, Vanilla Oreo Shake,₹206
Veg, Cold Coffee Frappe,₹206
Veg, Caramel Frappe,₹286
Veg, Peach Iced Tea,₹194
Veg, Cappuccino,₹171
Veg, Cappuccino Small,₹114
Veg, Latte,₹183
Veg, Latte Small,₹148
Veg, Americano,₹171
Veg, Americano Small,₹137
Veg, Mocha,₹229
Veg, Mocha Small,₹183
Veg, Espresso Small,₹102
Veg, Hot Chocolate Small,₹171
Veg, Macchiato Small,₹137
Veg, Strawberry_Cheese_Cake,₹219
Veg, Butter_Croissant,₹197
Veg, Garlic_Marinara_Toasty,₹153
Veg, Hot Cake,₹114
Veg,Veg McMuffin?,₹91
Veg, Hash Brown,₹45
Non-veg, Egg & Cheese McMuffin?,₹91
Non-veg, Sausage McMuffin?,₹114
Non-veg, Egg & Sausage McMuffin?,₹114
Veg, Veg McMuffin with Beverage,₹181
Non-veg, Sausage McMuffin with Beverage,₹215
Non-veg, Egg & Sausage McMuffin with Beverage,₹215
Non-veg, 2PC Egg & Cheese McMuffin,₹181
Veg, 2PC Hot Cake,₹215
Non-veg, McEgg with Beverage,₹152
Veg, Hash brown with Beverage,₹140
Veg, EVM Hot Cake,₹244
Veg, EVM Veg McMuffin,₹215
Non-veg, EVM Sausage McMuffin,₹232
Non-veg, EVM Egg & Sausage McMuffin,₹250
Non-veg, EVM Egg & Cheese McMuffin,₹215
Non-veg, EVM McEgg*,₹186
Non-veg, McVeggie ,₹118
Veg,McSpicy Paneer,₹197
Veg, Big Spicy Paneer Wrap,₹236
Veg, Pizza McPuff,₹49
Veg, McAloo Tikki Burger,₹58
Non-veg, Chicken McGrill,₹106
Non-veg, McChicken ,₹151
Non-veg, McSpicy Chicken ,₹201
Non-veg, Big Spicy Chicken Wrap,₹248
Veg, McFlurry Oreo,₹127
Veg, Chocolate Brownie Sundae,₹115
Veg, McFlurry  Choc Crunch,₹127
Veg, Strawberry Sundae,₹91
Veg, Chocolate Sundae,₹91
Veg, Small McFlurry Oreo,₹93
Veg, Small McFlurry  Choc crunch,₹93
